rank,playerId,name,team,opponent,isHome,battingOrder,position,bats,lineupSource,gameStatus,pitcher,pitcherThrows,pitcherHr9,pitcherMixLabel,pHr,pHrRaw,xHr,expectedPa,confidence,confidenceBand,confidenceNotes,reasons,factor_batter,factor_pitcher,factor_park,factor_platoon,factor_weather,factor_form,parkHrFactor,parkAirLabel,season_hr,season_pa,season_slg,recent_hr,recent_pa,recent_games,barrelPct,evAvg,hardHitPct,xIso,pullPct
222,695681,Christian Moore,LAA,ATH,False,7,2B,R,official,preview,Jeffrey Springs,L,2.15,,0.0934592924275294,0.09312589749260636,0.09647866254603621,2.299258878189155,0.9318672,stable,,,1,1,1,1,1,1,119,119 air · 89°F · 2 mph · 54° dew · RHB,1,127,,,,,6.7,,,,
223,622761,Jorge Mateo,TB,NYY,False,9,SS,R,official,preview,Gerrit Cole,R,1.56,,0.09338545956327682,0.09312291617910085,0.09640486588333963,2.2774791736256614,0.97,stable,,,1,1,1,1,1,1,104,104 air · 63°F · in LF 15 · 46° dew · RHB,5,209,,,,,7.6,,,,
224,685133,Wade Meckler,LAA,ATH,False,5,RF,L,official,preview,Jeffrey Springs,L,2.15,,0.0932905187931018,0.09302550106502838,0.09642368837984969,2.4677909425590405,0.97,stable,,,1,1,1,1,1,1,119,119 air · 89°F · 2 mph · 54° dew · LHB,3,317,,,,,2.7,,,,
225,677943,Will Banfield,CIN,ATL,False,8,C,R,official,preview,Chris Sale,L,0.52,,0.09323369125864393,0.09198378101020321,0.09521930221826627,2.400573927302542,0.5060000000000001,thin,,,1,1,1,1,1,1,101,101 air · 74°F · cross RF 12 · 68° dew · RHB,0,15,,,,,0,,,,
226,669701,Josh Smith,TOR,BAL,False,5,LF,L,official,final,Chris Bassitt,R,0.88,,0.09319069404360943,0.09292307468549588,0.0963313939511879,2.786371504053931,0.97,stable,,,1,1,1,1,1,1,106,106 air · 63°F · in CF 7 · 52° dew · LHB,6,232,,,,,6.7,,,,
227,668939,Adley Rutschman,BOS,CLE,True,5,C,S,official,preview,Foster Griffin,L,1.24,,0.0930023379696312,0.09272980968038791,0.09611121623373658,2.582809510795299,0.97,stable,,,1,1,1,1,1,1,78,78 air · 59°F · in CF 16 · 49° dew · switch,12,395,,,,,6.9,,,,
228,671976,Tristan Peters,CWS,KC,False,6,CF,L,official,preview,Seth Lugo,R,1.22,,0.09218396315541136,0.09189010640292039,0.09518184747630798,2.541270321975433,0.97,stable,,,1,1,1,1,1,1,91,91 air · 73°F · in RF 9 · 57° dew · LHB,12,473,,,,,5.6,,,,
229,668800,Andrew Knizner,SF,MIN,True,5,C,R,official,final,Connor Prielipp,L,1,,0.09194880341670623,0.0908565951293887,0.09409499716588778,2.6884589856713386,0.6296400000000001,fair,,,1,1,1,1,1,1,78,78 air · 68°F · cross 7 · 60° dew · RHB,2,75,,,,,5.8,,,,
230,656811,Ryan O'Hearn,PIT,STL,True,7,1B,L,official,live,Matthew Liberatore,L,1.63,,0.09105641300085623,0.09073317006539205,0.09389945674014838,2.287522395311409,0.97,stable,,,1,1,1,1,1,1,82,82 air · 65°F · in CF 12 · 51° dew · LHB,18,433,,,,,6.7,,,,
231,702284,Cole Young,SEA,HOU,True,7,2B,L,projected,preview,Ethan Pecko,R,1.57,,0.09100826497507201,0.0892580290541215,0.09232353199882035,2.5354312263303793,0.42641510400000004,thin,,,1,1,1,1,1,1,86,86 air · 59°F · in LF 8 · 52° dew · LHB,17,617,,,,,5,,,,
232,694376,Shay Whitcomb,SF,MIN,True,8,3B,R,official,final,Connor Prielipp,L,1,,0.09071548354037536,0.09020594868607623,0.09330888212969002,2.4130558700659823,0.8975232000000002,stable,,,1,1,1,1,1,1,78,78 air · 68°F · cross 7 · 60° dew · RHB,4,116,,,,,11.8,,,,
233,703601,Max Clark,DET,WSH,True,6,CF,L,official,final,Richard Lovelady,L,1.06,,0.09070841285363185,0.09022938875746955,0.09340110698914103,2.721891227111233,0.909957,stable,,,1,1,1,1,1,1,91,91 air · 65°F · in LF 14 · 52° dew · LHB,3,192,,,,,2.3,,,,
234,670231,John Rave,KC,CWS,True,8,CF,L,official,preview,Bryan Hudson,L,0.69,,0.0903695488527277,0.09000946670861976,0.09310281082232968,2.591933783625503,0.9623761200000001,stable,,,1,1,1,1,1,1,91,91 air · 73°F · in RF 9 · 57° dew · LHB,6,145,,,,,9.7,,,,
235,543807,George Springer,TOR,BAL,False,4,DH,R,official,final,Chris Bassitt,R,0.88,,0.09034944456389384,0.09000777663530546,0.09320432990377761,2.867923840757948,0.97,stable,,,1,1,1,1,1,1,94,94 air · 63°F · in CF 7 · 52° dew · RHB,15,510,,,,,6.4,,,,
